id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
train_0000,12,0.7549,0.2085,1.1953,1,0.9924,93.3828,train
train_0001,31,0.306,0.0845,0.474,1,0.9909,2.5917,train
train_0002,5,0.2734,0.0755,0.3414,1,0.9962,2.428,train
train_0003,48,0.5199,0.1436,1.0708,1,0.9884,2.2579,train
train_0004,17,0.5413,0.1495,0.7252,1,0.9822,23.7141,train
train_0005,26,0.2351,0.0649,0.5017,1,1.0,97.4162,train
train_0006,31,0.3309,0.0914,0.4633,1,0.9963,2.2283,train
train_0007,25,0.4891,0.1351,0.9103,1,0.9952,6.6302,train
train_0008,18,0.703,0.1942,0.8882,1,0.9862,37.7935,train
train_0009,5,0.3868,0.1068,0.6121,1,0.9903,2.42,train
train_0010,44,0.891,0.2461,1.4982,1,0.9676,90.0959,train
train_0011,17,0.5366,0.1482,0.6494,1,0.9863,2.2517,train
train_0012,24,0.9126,0.2521,1.132,1,0.9843,128.2682,train
train_0013,37,0.7012,0.1937,1.3985,1,0.9905,108.9735,train
train_0014,30,0.3304,0.0913,0.6372,1,0.9964,2.4167,train
train_0015,44,0.4802,0.1326,0.6454,1,0.9926,2.7845,train
train_0016,40,0.368,0.1016,0.5155,1,0.9919,2.5732,train
train_0017,26,0.675,0.1865,0.9999,1,0.986,57.0437,train
train_0018,9,0.3038,0.0839,0.6729,1,0.9814,2.3238,train
train_0019,50,0.2866,0.0792,0.5295,1,0.9928,2.4682,train
train_0020,1,0.9858,0.2723,1.9838,1,0.9832,90.91,train
train_0021,42,7.0477,1.9467,25.4805,0,0.8662,109.5776,train
train_0022,28,0.3655,0.101,0.7779,1,1.0,4.83,train
train_0023,50,0.2619,0.0723,0.5494,1,0.9932,4.3645,train
train_0024,29,0.1955,0.054,0.4859,1,0.9902,2.4481,train
train_0025,9,0.3329,0.0919,0.5345,1,0.9893,2.5673,train
train_0026,19,0.4569,0.1262,0.7191,1,0.9875,27.571,train
