id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
train_0000,12,1.3036,0.3601,1.8946,1,0.9837,93.3828,train
train_0001,31,0.5564,0.1537,0.6273,1,0.9918,2.5917,train
train_0002,5,0.2753,0.076,0.5239,1,0.9962,2.428,train
train_0003,48,0.9788,0.2704,1.3969,1,0.9876,2.2579,train
train_0004,17,0.9738,0.269,1.5061,1,0.9745,23.7141,train
train_0005,26,0.5242,0.1448,0.7796,1,0.995,97.4162,train
train_0006,31,0.4393,0.1213,0.6003,1,0.9913,2.2283,train
train_0007,25,0.8436,0.233,1.4712,1,0.9934,6.6302,train
train_0008,18,0.8642,0.2387,1.1834,1,0.9826,37.7935,train
train_0009,5,0.4114,0.1136,0.916,1,0.9903,2.42,train
train_0010,44,0.9528,0.2632,1.4775,1,0.9722,90.0959,train
train_0011,17,0.5333,0.1473,0.9232,1,0.9913,2.2517,train
train_0012,24,1.0019,0.2767,1.4156,1,0.9812,128.2682,train
train_0013,37,0.509,0.1406,0.8876,1,0.9891,108.9735,train
train_0014,30,0.3662,0.1011,0.4471,1,0.9938,2.4167,train
train_0015,44,0.5013,0.1385,0.5678,1,0.9938,2.7845,train
train_0016,40,0.5546,0.1532,1.3653,1,0.9947,2.5732,train
train_0017,26,0.9972,0.2754,1.9709,1,0.9862,57.0437,train
train_0018,9,0.3343,0.0923,0.5862,1,0.9814,2.3238,train
train_0019,50,0.4471,0.1235,0.7294,1,0.9853,2.4682,train
train_0020,1,2.0855,0.5761,3.4294,1,0.9688,90.91,train
train_0021,42,19.2041,5.3044,72.7908,0,0.6681,109.5776,train
train_0022,28,0.2898,0.08,0.5468,1,0.9902,4.83,train
train_0023,50,0.2818,0.0778,0.5953,1,0.9894,4.3645,train
train_0024,29,0.1878,0.0519,0.2987,1,0.9905,2.4481,train
train_0025,9,0.6927,0.1913,1.2405,1,0.9787,2.5673,train
train_0026,19,0.5047,0.1394,0.7,1,0.9948,27.571,train
train_0027,5,0.3874,0.107,0.6347,1,0.9918,2.3138,train
train_0028,29,1.2212,0.3373,2.1938,1,0.9845,73.925,train
train_0029,46,0.3693,0.102,0.6023,1,0.9944,2.2859,train
train_0030,34,1.068,0.295,1.7154,1,0.9838,2.5746,train
train_0031,18,0.3253,0.0899,0.603,1,0.9968,90.4234,train
train_0032,34,3.0184,0.8337,7.4437,0,0.975,34.8956,train
train_0033,29,0.8542,0.2359,1.3511,1,0.9858,5.2225,train
train_0034,6,0.5188,0.1433,1.0555,1,0.9902,21.4807,train
train_0035,12,0.5242,0.1448,0.6953,1,0.9931,63.6609,train
train_0036,17,0.8314,0.2296,1.1242,1,0.9784,15.363,train
train_0037,6,0.7985,0.2206,0.9493,1,0.9838,90.5263,train
train_0038,50,0.4729,0.1306,0.7275,1,0.9932,1.9356,train
train_0039,12,0.6339,0.1751,0.9204,1,0.9868,2.3469,train
train_0040,17,0.4635,0.128,0.9517,1,0.9958,2.2409,train
train_0041,42,0.8583,0.2371,1.0774,1,0.9888,4.9625,train
train_0042,19,14.4721,3.9974,50.6397,0,0.7828,91.5579,train
train_0043,25,0.9709,0.2682,1.4015,1,0.9853,45.2511,train
train_0044,8,0.2466,0.0681,0.4178,1,0.9967,2.1225,train
train_0045,19,0.4449,0.1229,0.5427,1,0.9912,2.6209,train
train_0046,20,0.3426,0.0946,0.7494,1,0.9855,11.4664,train
train_0047,18,2.1953,0.6064,6.8006,1,0.971,47.1476,train
train_0048,31,1.0007,0.2764,1.2401,1,0.9865,107.8503,train
train_0049,45,0.3553,0.0981,0.4243,1,0.9938,2.1469,train
train_0050,15,0.5673,0.1567,0.8541,1,0.9908,2.4676,train
train_0051,36,0.3707,0.1024,0.6235,1,0.9857,104.9116,train
train_0052,14,0.3729,0.103,0.4684,1,0.9956,2.4122,train
train_0053,19,0.8601,0.2376,1.0275,1,0.9842,102.9299,train
train_0054,4,1.3175,0.3639,2.5715,1,0.9786,74.6632,train
train_0055,15,0.763,0.2107,1.3145,1,0.9899,2.6996,train
train_0056,42,0.4241,0.1171,0.6686,1,0.9931,97.214,train
train_0057,21,0.5452,0.1506,0.6543,1,0.9805,2.4641,train
train_0058,5,0.6548,0.1809,0.8391,1,0.9885,2.4962,train
train_0059,6,0.4888,0.135,0.7526,1,0.9889,2.1835,train
train_0060,45,26.0678,7.2003,97.5566,0,0.7388,100.8751,train
train_0061,34,1.1557,0.3192,2.9271,1,0.9814,92.9388,train
train_0062,4,1.3892,0.3837,3.9485,1,0.9892,36.0557,train
train_0063,21,0.7484,0.2067,1.9239,1,0.9881,22.6449,train
train_0064,31,0.897,0.2478,1.4223,1,0.9845,37.0962,train
train_0065,47,0.312,0.0862,0.4723,1,1.0,2.2593,train
train_0066,6,1.025,0.2831,2.5066,1,0.9854,61.6582,train
train_0067,48,0.7777,0.2148,1.1007,1,0.9837,2.6722,train
train_0068,7,0.2995,0.0827,0.3815,1,0.9945,103.4359,train
train_0069,42,1.2898,0.3563,1.4633,1,0.992,49.609,train
train_0070,17,0.391,0.108,0.5188,1,0.9886,113.1043,train
train_0071,32,0.4874,0.1346,1.0513,1,0.9863,119.8037,train
