threshold_pct,threshold_px,pck,split
0.25,0.905,0.35,train
0.5,1.81,0.73,train
0.75,2.715,0.83,train
1.0,3.62,0.845,train
1.5,5.431,0.905,train
2.0,7.241,0.925,train
3.0,10.861,0.93,train
5.0,18.102,0.935,train
7.5,27.153,0.945,train
10.0,36.204,0.95,train
0.25,0.905,0.4,val
0.5,1.81,0.7,val
0.75,2.715,0.83,val
1.0,3.62,0.88,val
1.5,5.431,0.955,val
2.0,7.241,0.96,val
3.0,10.861,0.965,val
5.0,18.102,0.97,val
7.5,27.153,0.975,val
10.0,36.204,0.98,val
0.25,0.905,0.405,test
0.5,1.81,0.7,test
0.75,2.715,0.775,test
1.0,3.62,0.83,test
1.5,5.431,0.895,test
2.0,7.241,0.905,test
3.0,10.861,0.93,test
5.0,18.102,0.955,test
7.5,27.153,0.955,test
10.0,36.204,0.96,test
