id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
test_0000,35,0.5498,0.1519,0.9622,1,0.9891,3.0443,test
test_0001,49,0.3852,0.1064,0.459,1,0.9864,2.4221,test
test_0002,35,0.2744,0.0758,0.3685,1,0.9911,2.4102,test
test_0003,49,0.415,0.1146,0.5499,1,0.9921,2.269,test
test_0004,11,0.494,0.1365,0.6954,1,0.9958,2.3749,test
test_0005,11,0.4354,0.1203,0.6295,1,0.99,2.2196,test
test_0006,39,0.483,0.1334,0.734,1,0.9871,2.7439,test
test_0007,39,0.2922,0.0807,0.4977,1,0.9844,2.3148,test
test_0008,11,0.4656,0.1286,0.5238,1,1.0,2.1712,test
test_0009,35,1.2787,0.3532,3.6826,1,0.9838,31.6972,test
test_0010,39,1.4225,0.3929,3.362,1,0.9723,103.8141,test
test_0011,11,0.2642,0.073,0.3732,1,0.9951,2.4007,test
test_0012,33,0.3461,0.0956,0.9714,1,1.0,2.28,test
test_0013,35,0.3781,0.1044,0.898,1,0.9888,2.6815,test
test_0014,49,0.4558,0.1259,0.7233,1,0.99,2.4007,test
test_0015,33,0.428,0.1182,0.6221,1,0.984,107.964,test
test_0016,49,0.4378,0.1209,0.6716,1,0.9955,15.6178,test
test_0017,11,0.6114,0.1689,1.0992,1,0.988,2.5308,test
test_0018,33,0.3479,0.0961,0.717,1,0.9959,2.6199,test
test_0019,33,0.4858,0.1342,0.6733,1,0.9926,2.2965,test
test_0020,49,10.6124,2.9313,39.5215,0,0.834,100.0148,test
test_0021,33,0.4912,0.1357,0.6596,1,1.0,80.5914,test
test_0022,11,0.505,0.1395,0.6362,1,0.9788,2.6234,test
test_0023,49,0.3202,0.0884,0.4676,1,0.984,2.4107,test
test_0024,33,3.8049,1.051,13.6743,0,0.9293,112.8608,test
test_0025,33,0.1966,0.0543,0.2287,1,0.9965,57.7427,test
test_0026,35,0.3399,0.0939,0.4513,1,0.9945,4.525,test
test_0027,39,0.4172,0.1152,0.5761,1,0.9961,2.2515,test
test_0028,49,0.2497,0.069,0.3877,1,0.9817,6.24,test
test_0029,39,0.3413,0.0943,0.3976,1,0.9964,2.3136,test
test_0030,39,0.5873,0.1622,0.7922,1,0.9898,6.5638,test
test_0031,33,0.5715,0.1579,1.1886,1,0.9902,2.4296,test
test_0032,35,1.3754,0.3799,2.4285,1,0.9706,113.1951,test
test_0033,11,0.2663,0.0735,0.4987,1,1.0,2.3789,test
test_0034,35,0.2413,0.0666,0.4421,1,0.9912,2.2782,test
test_0035,33,1.1196,0.3092,3.8433,1,0.9838,99.9641,test
test_0036,49,0.3034,0.0838,0.4348,1,0.9955,2.0052,test
test_0037,11,0.4442,0.1227,0.7216,1,0.9906,2.7893,test
test_0038,11,2.9293,0.8091,7.038,1,0.9632,157.3996,test
test_0039,49,1.7642,0.4873,3.4313,1,0.9745,5.6026,test
test_0040,49,0.3731,0.1031,0.8097,1,0.9796,119.8319,test
test_0041,35,0.51,0.1409,0.6583,1,0.9825,2.6888,test
test_0042,33,0.357,0.0986,0.5122,1,0.9927,71.0693,test
test_0043,35,2.6083,0.7204,4.813,1,0.9698,133.3636,test
test_0044,35,0.4873,0.1346,0.7119,1,0.9921,3.0285,test
test_0045,39,0.2458,0.0679,0.4373,1,0.9949,2.5398,test
test_0046,35,0.5212,0.144,0.6915,1,0.9857,99.6309,test
test_0047,35,0.1961,0.0542,0.2794,1,0.9967,2.4066,test
test_0048,39,8.9323,2.4672,33.7329,0,0.8866,59.445,test
test_0049,49,0.4192,0.1158,0.6745,1,0.9905,79.9507,test
test_0050,49,0.6381,0.1762,0.7449,1,0.9821,114.2783,test
