id,scan,predicted_psnr,predicted_ssim,source,annotated_psnr,annotated_ssim,corner_err,corner_pct,pck,quad_iou,psnr_cost,split
test_0000,35,16.7568,0.781,model,29.1938,0.9758,0.4383,0.1211,1,0.9949,12.437,test
test_0001,49,19.803,0.8457,model,21.4416,0.881,0.2929,0.0809,1,0.9907,1.6386,test
test_0002,35,18.4422,0.8284,model,26.1392,0.9499,0.3066,0.0847,1,0.9917,7.697,test
test_0003,49,20.8955,0.8834,model,23.0201,0.9131,0.3377,0.0933,1,0.9921,2.1246,test
test_0004,11,18.3864,0.8503,model,27.3566,0.9667,0.5723,0.1581,1,0.9958,8.9702,test
test_0005,11,17.5057,0.8274,model,28.0059,0.976,0.3249,0.0897,1,0.99,10.5002,test
test_0006,39,20.7641,0.8803,model,27.1607,0.9628,0.52,0.1436,1,0.9889,6.3966,test
test_0007,39,20.8323,0.8825,model,27.4694,0.9562,0.3025,0.0835,1,0.9807,6.6371,test
test_0008,11,18.4029,0.8553,model,28.9363,0.9797,0.5201,0.1437,1,0.9961,10.5334,test
test_0009,35,16.2367,0.7471,model,28.3327,0.9718,1.246,0.3442,1,0.9857,12.096,test
test_0010,39,20.6044,0.873,model,25.8464,0.9418,0.5248,0.1449,1,0.9893,5.242,test
test_0011,11,18.4145,0.8614,model,29.4437,0.981,0.4826,0.1333,1,0.9951,11.0292,test
test_0012,33,19.8949,0.8696,model,27.2453,0.9605,0.3161,0.0873,1,0.9889,7.3504,test
test_0013,35,15.1885,0.6527,model,26.4525,0.9551,2.5984,0.7177,0,0.9455,11.264,test
test_0014,49,19.0242,0.8486,model,29.9856,0.9759,0.3367,0.093,1,0.99,10.9614,test
test_0015,33,19.1125,0.8635,model,26.5925,0.9614,0.4583,0.1266,1,0.9923,7.48,test
test_0016,49,19.5558,0.8569,model,27.0085,0.9627,0.4985,0.1377,1,0.9871,7.4527,test
test_0017,11,19.7352,0.8784,model,28.8255,0.9753,0.5551,0.1533,1,0.9879,9.0903,test
test_0018,33,20.6669,0.8896,model,28.0562,0.9668,0.323,0.0892,1,0.9924,7.3893,test
test_0019,33,21.0378,0.899,model,29.683,0.9783,0.3751,0.1036,1,0.9926,8.6452,test
test_0020,49,20.5553,0.8697,model,24.4588,0.9302,0.664,0.1834,1,0.9957,3.9035,test
test_0021,33,18.7787,0.8438,model,28.6586,0.9705,0.4784,0.1321,1,1.0,9.8799,test
test_0022,11,18.8703,0.8542,model,26.8768,0.964,0.4415,0.1219,1,0.9788,8.0065,test
test_0023,49,21.7217,0.8893,model,23.8777,0.9242,0.2331,0.0644,1,1.0,2.156,test
test_0024,33,18.4405,0.8072,model,22.4107,0.8937,0.9831,0.2715,1,0.9834,3.9702,test
test_0025,33,18.3332,0.8179,model,26.4809,0.957,0.4823,0.1332,1,0.992,8.1477,test
test_0026,35,15.6252,0.703,model,27.545,0.963,0.6468,0.1787,1,0.9841,11.9198,test
test_0027,39,22.213,0.9059,model,28.5277,0.9697,0.4383,0.1211,1,0.9961,6.3147,test
test_0028,49,20.6848,0.8711,model,24.6861,0.9311,0.3726,0.1029,1,1.0,4.0013,test
test_0029,39,18.9559,0.8457,model,28.9089,0.9735,0.7817,0.2159,1,0.9849,9.953,test
test_0030,39,19.5223,0.8552,model,26.3268,0.9426,0.6151,0.1699,1,0.9898,6.8045,test
test_0031,33,19.0614,0.854,model,25.4023,0.9445,0.5757,0.159,1,0.9902,6.3409,test
test_0032,35,16.07,0.6874,model,22.2004,0.8973,1.6053,0.4434,1,0.9652,6.1304,test
test_0033,11,19.9957,0.895,model,29.3484,0.9796,0.3168,0.0875,1,0.991,9.3527,test
test_0034,35,17.2501,0.7752,model,22.6434,0.9124,0.261,0.0721,1,0.9865,5.3933,test
test_0035,33,17.5344,0.7979,model,28.3278,0.9733,1.2692,0.3506,1,0.9766,10.7934,test
test_0036,49,17.85,0.816,model,24.1313,0.9321,0.3799,0.1049,1,0.9907,6.2813,test
test_0037,11,17.9542,0.8263,model,24.1908,0.9416,0.2958,0.0817,1,1.0,6.2366,test
test_0038,11,16.7574,0.7876,model,28.7355,0.975,2.688,0.7425,1,0.9592,11.9781,test
test_0039,49,18.2464,0.8165,model,22.6452,0.9181,1.9178,0.5297,1,0.9764,4.3988,test
test_0040,49,19.0671,0.837,model,23.6709,0.9326,0.401,0.1108,1,0.977,4.6038,test
test_0041,35,17.4754,0.7586,model,23.4161,0.9172,0.4827,0.1333,1,0.9816,5.9407,test
test_0042,33,19.0633,0.8429,model,28.3584,0.9648,0.756,0.2088,1,0.9827,9.2951,test
test_0043,35,15.9899,0.6815,model,21.2298,0.8735,3.0623,0.8458,1,0.9595,5.2399,test
test_0044,35,17.016,0.766,model,21.2123,0.8751,0.6329,0.1748,1,0.9867,4.1963,test
test_0045,39,22.9645,0.9264,model,30.6823,0.9809,0.2304,0.0636,1,0.9961,7.7178,test
test_0046,35,16.051,0.7276,model,23.4534,0.9247,0.6698,0.185,1,0.9897,7.4024,test
test_0047,35,22.0698,0.9192,model,29.2771,0.9786,0.2446,0.0676,1,0.9935,7.2073,test
test_0048,39,21.4143,0.8933,model,25.1215,0.9375,0.5986,0.1653,1,0.997,3.7072,test
test_0049,49,18.8793,0.8441,model,29.6045,0.9788,0.4628,0.1278,1,0.9918,10.7252,test
test_0050,49,19.6674,0.8532,model,23.3591,0.9193,0.4614,0.1274,1,0.9828,3.6917,test
test_0051,35,16.5325,0.7746,model,29.208,0.9781,0.6757,0.1866,1,0.9971,12.6755,test
test_0052,35,16.1942,0.73,model,26.0282,0.954,0.5232,0.1445,1,0.9943,9.834,test
test_0053,11,18.6584,0.8526,model,24.6542,0.9478,0.3886,0.1073,1,0.9907,5.9958,test
test_0054,33,16.3672,0.7489,model,29.3959,0.9749,3.022,0.8347,0,0.9722,13.0287,test
test_0055,39,20.2667,0.864,model,24.3914,0.9367,0.309,0.0853,1,0.9946,4.1247,test
test_0056,35,19.1597,0.8504,model,24.6709,0.9442,0.2941,0.0812,1,0.9928,5.5112,test
test_0057,11,19.6962,0.8731,model,23.6448,0.9368,0.5195,0.1435,1,0.9969,3.9486,test
test_0058,33,21.3519,0.9008,model,26.1287,0.9596,0.2764,0.0763,1,0.9947,4.7768,test
test_0059,39,20.4702,0.883,model,30.5556,0.9742,0.4835,0.1335,1,0.994,10.0854,test
test_0060,11,17.957,0.8257,model,27.3569,0.9671,0.7659,0.2116,1,0.9864,9.3999,test
test_0061,49,19.2427,0.8512,model,29.0075,0.9757,0.3686,0.1018,1,0.9925,9.7648,test
test_0062,49,18.1972,0.8046,model,23.9668,0.9231,1.0167,0.2808,1,0.9874,5.7696,test
test_0063,11,18.7029,0.8567,model,26.9444,0.9692,0.5949,0.1643,1,0.9868,8.2415,test
test_0064,11,18.5497,0.8385,model,24.0271,0.9368,0.412,0.1138,1,0.9869,5.4774,test
test_0065,11,17.5483,0.7856,model,24.5735,0.9439,1.3976,0.386,1,0.9702,7.0252,test
test_0066,11,20.518,0.892,model,23.7226,0.9368,0.316,0.0873,1,0.9831,3.2046,test
test_0067,39,23.2306,0.9253,model,27.291,0.9617,0.2838,0.0784,1,0.987,4.0604,test
test_0068,11,20.5498,0.8887,model,24.1673,0.9424,0.4977,0.1375,1,0.9851,3.6175,test
test_0069,35,16.5962,0.7941,model,29.1253,0.9781,0.6147,0.1698,1,0.9887,12.5291,test
test_0070,33,19.7217,0.8405,model,22.386,0.8924,0.476,0.1315,1,0.9904,2.6643,test
test_0071,49,17.6116,0.807,model,29.7578,0.9719,2.3571,0.6511,1,0.97,12.1462,test
test_0072,33,16.8501,0.792,model,30.1225,0.982,1.6378,0.4524,1,0.9851,13.2724,test
test_0073,35,18.1159,0.8166,model,29.9096,0.9793,0.3211,0.0887,1,0.9933,11.7937,test
test_0074,11,18.4507,0.8367,model,22.5143,0.9204,0.4509,0.1246,1,0.979,4.0636,test
test_0075,49,21.0691,0.8861,model,24.1947,0.9309,0.2366,0.0654,1,0.9939,3.1256,test
test_0076,33,16.5519,0.7713,model,30.9146,0.984,1.5839,0.4375,1,0.9879,14.3627,test
test_0077,39,20.3761,0.8707,model,28.6306,0.9678,0.5247,0.1449,1,0.9883,8.2545,test
test_0078,39,20.754,0.8825,model,26.3895,0.954,0.2902,0.0802,1,1.0,5.6355,test
test_0079,49,19.4169,0.8604,model,28.362,0.9725,0.8683,0.2398,1,0.988,8.9451,test
test_0080,49,18.7928,0.8145,model,23.2679,0.9201,1.5006,0.4145,1,0.9731,4.4751,test
test_0081,49,18.0651,0.8137,model,24.916,0.9397,0.4394,0.1214,1,0.9763,6.8509,test
test_0082,39,20.2238,0.8765,model,29.3485,0.9685,0.4284,0.1183,1,0.9945,9.1247,test
test_0083,49,18.0042,0.8186,model,28.6894,0.9722,0.6346,0.1753,1,0.9855,10.6852,test
test_0084,49,19.6942,0.8639,model,28.073,0.9615,0.7628,0.2107,1,0.9873,8.3788,test
test_0085,11,20.0077,0.8982,model,29.2187,0.9822,0.3199,0.0884,1,0.9964,9.211,test
test_0086,35,18.9064,0.8529,model,29.823,0.978,0.5087,0.1405,1,0.9948,10.9166,test
test_0087,39,18.2922,0.8118,model,26.6916,0.9605,1.0804,0.2984,1,0.985,8.3994,test
test_0088,39,20.0163,0.8631,model,24.5615,0.9305,0.5587,0.1543,1,0.9724,4.5452,test
test_0089,39,22.8892,0.9242,model,25.7882,0.9538,0.2134,0.0589,1,0.995,2.899,test
test_0090,49,20.526,0.8726,model,26.7616,0.9632,0.5466,0.151,1,0.9821,6.2356,test
test_0091,33,17.466,0.7712,model,22.5363,0.9037,2.3434,0.6473,1,0.9737,5.0703,test
test_0092,39,21.0487,0.9016,model,29.3965,0.9696,0.3221,0.089,1,0.9946,8.3478,test
test_0093,33,18.3598,0.8397,model,29.9892,0.9777,0.425,0.1174,1,0.9972,11.6294,test
test_0094,11,16.6868,0.8115,model,29.5783,0.9838,0.6648,0.1836,1,0.9886,12.8915,test
test_0095,49,17.3833,0.7931,model,27.3812,0.9609,0.7861,0.2171,1,0.9827,9.9979,test
test_0096,39,20.1334,0.8728,model,30.543,0.9773,0.3651,0.1009,1,0.9905,10.4096,test
test_0097,35,19.935,0.8717,model,28.4103,0.9731,0.3265,0.0902,1,0.996,8.4753,test
test_0098,33,17.6825,0.755,model,22.7329,0.9064,1.4505,0.4006,1,0.975,5.0504,test
test_0099,49,21.4812,0.8993,model,25.0936,0.9463,0.2868,0.0792,1,0.993,3.6124,test
test_0100,33,18.0661,0.808,model,22.539,0.9106,0.4287,0.1184,1,0.9896,4.4729,test
test_0101,33,19.1163,0.8505,model,24.7548,0.9357,0.3739,0.1033,1,0.9893,5.6385,test
test_0102,33,19.7592,0.8723,model,28.4096,0.9721,0.3847,0.1063,1,0.9855,8.6504,test
test_0103,33,20.0879,0.8824,model,29.4841,0.9774,0.5184,0.1432,1,0.9878,9.3962,test
test_0104,35,16.8495,0.7588,model,24.8395,0.9404,0.4453,0.123,1,0.9922,7.99,test
test_0105,35,18.2711,0.8024,model,21.653,0.8823,0.4249,0.1174,1,0.9893,3.3819,test
test_0106,33,18.6442,0.8386,model,24.64,0.9408,0.6907,0.1908,1,0.9883,5.9958,test
test_0107,11,18.1483,0.8333,model,28.0531,0.9706,0.4637,0.1281,1,0.9923,9.9048,test
test_0108,49,18.4492,0.8315,model,28.0018,0.969,0.4878,0.1348,1,0.9933,9.5526,test
test_0109,11,18.822,0.851,model,25.4821,0.9543,0.4424,0.1222,1,0.9801,6.6601,test
test_0110,39,22.5233,0.9051,model,24.6468,0.9308,0.5399,0.1491,1,0.9889,2.1235,test
test_0111,39,21.5644,0.8963,model,27.6406,0.9623,0.3866,0.1068,1,0.9898,6.0762,test
test_0112,11,16.8687,0.7863,model,22.786,0.9328,1.9626,0.5421,1,0.972,5.9173,test
test_0113,35,18.7025,0.8302,model,28.5593,0.9684,0.4284,0.1183,1,0.989,9.8568,test
test_0114,39,18.802,0.8558,model,29.5768,0.9792,0.7003,0.1934,1,0.9898,10.7748,test
test_0115,11,17.7713,0.8289,model,28.5576,0.9773,0.4649,0.1284,1,0.9845,10.7863,test
test_0116,11,18.0173,0.8252,model,28.5965,0.9744,0.5583,0.1542,1,0.9864,10.5792,test
test_0117,39,19.3227,0.864,model,25.0359,0.9474,0.3633,0.1004,1,0.9961,5.7132,test
test_0118,35,18.2755,0.8276,model,24.8137,0.947,0.2875,0.0794,1,0.9946,6.5382,test
test_0119,49,19.2243,0.8723,model,28.5188,0.9735,0.464,0.1282,1,0.9873,9.2945,test
test_0120,11,19.4987,0.8661,model,25.4274,0.9528,0.3141,0.0868,1,0.9866,5.9287,test
test_0121,33,17.5518,0.7985,model,23.7833,0.9365,0.9649,0.2665,1,0.9863,6.2315,test
test_0122,11,18.9143,0.8541,model,27.085,0.969,0.4984,0.1377,1,0.9953,8.1707,test
test_0123,39,22.2263,0.9108,model,24.3993,0.9322,0.3492,0.0965,1,0.9921,2.173,test
test_0124,49,20.7421,0.8728,model,22.1824,0.8981,0.2693,0.0744,1,0.9892,1.4403,test
test_0125,39,21.4026,0.8894,model,24.8742,0.933,0.2576,0.0712,1,0.9905,3.4716,test
test_0126,11,18.3478,0.8163,model,20.8626,0.8879,1.1527,0.3184,1,0.9825,2.5148,test
test_0127,35,16.8181,0.7731,model,28.8244,0.9685,0.8356,0.2308,1,0.9859,12.0063,test
test_0128,11,18.5607,0.8292,model,21.4142,0.889,0.7268,0.2007,1,0.9833,2.8535,test
test_0129,35,16.595,0.7494,model,26.9391,0.9587,0.6354,0.1755,1,0.9939,10.3441,test
test_0130,39,23.9363,0.934,model,28.385,0.9614,0.2352,0.065,1,0.9944,4.4487,test
test_0131,35,17.0471,0.7771,model,28.6223,0.9708,0.4919,0.1359,1,0.9878,11.5752,test
test_0132,49,20.3661,0.8805,model,26.4492,0.9578,0.4066,0.1123,1,0.9943,6.0831,test
test_0133,39,21.738,0.9153,model,30.0514,0.98,0.271,0.0749,1,1.0,8.3134,test
