threshold_pct,threshold_px,pck,split
0.25,0.905,0.595,train
0.5,1.81,0.805,train
0.75,2.715,0.885,train
1.0,3.62,0.92,train
1.5,5.431,0.955,train
2.0,7.241,0.975,train
3.0,10.861,0.985,train
5.0,18.102,0.985,train
7.5,27.153,0.995,train
10.0,36.204,0.995,train
0.25,0.905,0.58,val
0.5,1.81,0.81,val
0.75,2.715,0.89,val
1.0,3.62,0.93,val
1.5,5.431,0.98,val
2.0,7.241,0.98,val
3.0,10.861,0.985,val
5.0,18.102,0.995,val
7.5,27.153,1.0,val
10.0,36.204,1.0,val
0.25,0.905,0.61,test
0.5,1.81,0.795,test
0.75,2.715,0.85,test
1.0,3.62,0.89,test
1.5,5.431,0.93,test
2.0,7.241,0.955,test
3.0,10.861,0.96,test
5.0,18.102,0.975,test
7.5,27.153,0.975,test
10.0,36.204,0.985,test
