id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
train_0000,12,1.7747,0.4902,3.9546,1,0.9735,93.3828,train
train_0001,31,1.1538,0.3187,1.7844,1,0.9848,2.5917,train
train_0002,5,1.0962,0.3028,1.8802,1,0.9813,2.428,train
train_0003,48,4.5531,1.2576,6.0711,1,0.9626,2.2579,train
train_0004,17,2.3138,0.6391,2.578,1,0.9676,23.7141,train
train_0005,26,2.0713,0.5721,3.2227,1,0.9768,97.4162,train
train_0006,31,1.0968,0.3029,1.4989,1,0.9854,2.2283,train
train_0007,25,2.5145,0.6945,5.2026,1,0.9635,6.6302,train
train_0008,18,1.9097,0.5275,3.2868,1,0.973,37.7935,train
train_0009,5,2.7718,0.7656,3.6737,1,0.967,2.42,train
train_0010,44,2.5905,0.7155,7.2962,0,0.9521,90.0959,train
train_0011,17,1.2392,0.3423,1.9425,1,0.9773,2.2517,train
train_0012,24,5.5411,1.5305,8.7485,0,0.9191,128.2682,train
train_0013,37,1.4554,0.402,2.3295,1,0.9695,108.9735,train
train_0014,30,1.6194,0.4473,2.645,1,0.9723,2.4167,train
train_0015,44,2.1728,0.6002,3.3028,1,0.9508,2.7845,train
train_0016,40,2.7306,0.7542,4.6144,1,0.9773,2.5732,train
train_0017,26,1.7883,0.494,2.0988,1,0.978,57.0437,train
train_0018,9,1.5556,0.4297,2.6051,1,0.9678,2.3238,train
train_0019,50,1.6512,0.4561,3.7944,1,0.9893,2.4682,train
train_0020,1,2.3829,0.6582,2.8502,1,0.9778,90.91,train
train_0021,42,8.0839,2.2329,15.7117,0,0.8696,109.5776,train
train_0022,28,3.4733,0.9594,5.5206,1,0.9424,4.83,train
train_0023,50,1.7084,0.4719,3.3358,1,0.9803,4.3645,train
train_0024,29,1.9322,0.5337,2.8365,1,0.9859,2.4481,train
train_0025,9,1.1424,0.3156,1.7173,1,0.988,2.5673,train
train_0026,19,1.6203,0.4475,2.6208,1,0.9743,27.571,train
train_0027,5,1.4212,0.3925,1.9831,1,0.9853,2.3138,train
train_0028,29,2.5494,0.7042,4.0985,1,0.9701,73.925,train
train_0029,46,2.1324,0.589,3.0414,1,0.9746,2.2859,train
train_0030,34,1.0578,0.2922,1.9068,1,0.9779,2.5746,train
train_0031,18,2.8299,0.7817,3.6634,1,0.9665,90.4234,train
train_0032,34,3.7196,1.0274,4.3502,1,0.976,34.8956,train
train_0033,29,2.1748,0.6007,3.2066,1,0.9515,5.2225,train
train_0034,6,2.1095,0.5827,3.1206,1,0.9648,21.4807,train
train_0035,12,0.9662,0.2669,2.5364,1,0.9872,63.6609,train
train_0036,17,6.1539,1.6998,12.6304,0,0.8415,15.363,train
train_0037,6,0.5586,0.1543,0.7878,1,0.9882,90.5263,train
train_0038,50,1.9218,0.5308,3.5131,1,0.9804,1.9356,train
train_0039,12,2.3864,0.6592,2.9962,1,0.9699,2.3469,train
train_0040,17,0.6708,0.1853,1.1844,1,0.9942,2.2409,train
train_0041,42,2.4685,0.6818,3.6758,1,0.9724,4.9625,train
train_0042,19,14.6237,4.0393,32.1376,0,0.816,91.5579,train
train_0043,25,3.6993,1.0218,9.1974,0,0.952,45.2511,train
train_0044,8,1.9181,0.5298,4.0036,1,0.9805,2.1225,train
train_0045,19,1.1534,0.3186,2.7163,1,0.989,2.6209,train
train_0046,20,8.5075,2.3499,23.9258,0,0.8666,11.4664,train
train_0047,18,5.6633,1.5643,13.3127,0,0.9334,47.1476,train
train_0048,31,1.7981,0.4967,3.3558,1,0.9813,107.8503,train
train_0049,45,1.5995,0.4418,3.3533,1,0.9765,2.1469,train
train_0050,15,3.1933,0.882,8.0151,0,0.9508,2.4676,train
train_0051,36,1.5717,0.4341,2.0034,1,0.9726,104.9116,train
train_0052,14,1.999,0.5521,3.1491,1,0.9783,2.4122,train
train_0053,19,1.9542,0.5398,2.9835,1,0.9727,102.9299,train
train_0054,4,0.9223,0.2548,2.2565,1,0.9859,74.6632,train
train_0055,15,1.8685,0.5161,2.799,1,0.9795,2.6996,train
train_0056,42,2.4965,0.6896,4.1308,1,0.963,97.214,train
train_0057,21,2.0596,0.5689,3.17,1,0.9762,2.4641,train
train_0058,5,2.4794,0.6848,4.14,1,0.9498,2.4962,train
train_0059,6,1.5799,0.4364,2.2937,1,0.9753,2.1835,train
train_0060,45,11.3625,3.1385,22.2174,0,0.8991,100.8751,train
train_0061,34,3.7063,1.0237,4.2526,1,0.9562,92.9388,train
train_0062,4,2.6075,0.7202,3.9074,1,0.9806,36.0557,train
train_0063,21,1.6117,0.4452,3.4874,1,0.9704,22.6449,train
train_0064,31,1.5231,0.4207,2.4872,1,0.9747,37.0962,train
train_0065,47,1.1487,0.3173,2.0077,1,0.9873,2.2593,train
train_0066,6,1.8898,0.522,2.5904,1,0.9812,61.6582,train
train_0067,48,1.3992,0.3865,1.9745,1,0.9777,2.6722,train
train_0068,7,1.15,0.3176,1.8977,1,0.9767,103.4359,train
train_0069,42,1.4292,0.3948,2.0823,1,0.982,49.609,train
train_0070,17,2.5272,0.6981,4.1469,1,0.964,113.1043,train
train_0071,32,2.2616,0.6247,3.6906,1,0.9371,119.8037,train
train_0072,31,2.6624,0.7354,3.9776,1,0.9788,2.5591,train
train_0073,29,1.8182,0.5022,3.6646,1,0.9681,86.9363,train
train_0074,20,2.8271,0.7809,4.759,1,0.9522,102.7251,train
train_0075,8,12.3276,3.405,37.3547,0,0.8756,67.2477,train
train_0076,42,5.5396,1.5301,9.9021,0,0.9322,96.3404,train
train_0077,29,1.9077,0.5269,3.1447,1,0.9773,2.7011,train
train_0078,20,4.0989,1.1322,12.6556,0,0.9341,9.3464,train
train_0079,41,4.1622,1.1496,5.7305,1,0.9279,2.7464,train
train_0080,30,3.2271,0.8914,4.161,1,0.9703,70.867,train
train_0081,45,4.0777,1.1263,6.7155,1,0.9341,84.4058,train
train_0082,14,2.174,0.6005,3.6169,1,0.9663,2.5817,train
train_0083,7,1.4172,0.3915,2.6401,1,0.985,29.6882,train
train_0084,47,36.871,10.1843,57.997,0,0.6218,120.4801,train
train_0085,2,1.9609,0.5416,2.8075,1,0.9781,2.4038,train
train_0086,9,1.4101,0.3895,2.3991,1,0.9762,2.1055,train
train_0087,9,4.1731,1.1527,8.3264,0,0.9365,98.8585,train
train_0088,44,8.0959,2.2362,16.43,0,0.8098,116.2382,train
train_0089,43,2.9842,0.8243,3.8738,1,0.9609,24.1362,train
train_0090,48,1.5419,0.4259,2.3814,1,0.9802,2.372,train
train_0091,37,1.9095,0.5274,2.2308,1,0.9844,71.7037,train
train_0092,37,1.6935,0.4678,3.3617,1,0.9735,100.5427,train
train_0093,28,3.0684,0.8475,6.5251,1,0.9646,2.4678,train
train_0094,18,3.0943,0.8547,5.4143,1,0.9484,2.5283,train
train_0095,40,1.856,0.5127,3.0854,1,0.9813,3.0758,train
train_0096,26,2.418,0.6679,4.0948,1,0.9778,4.4164,train
train_0097,38,2.0735,0.5727,2.7901,1,0.9689,66.8453,train
train_0098,14,3.6001,0.9944,6.6105,1,0.9439,8.6843,train
train_0099,8,4.7537,1.313,14.7131,0,0.9163,11.5574,train
train_0100,9,1.2803,0.3536,3.1392,1,0.9824,73.2665,train
train_0101,24,2.3527,0.6499,3.1496,1,0.9754,2.4546,train
train_0102,38,2.7732,0.766,3.8869,1,0.96,91.0091,train
train_0103,2,2.1188,0.5852,3.0953,1,0.9695,2.2519,train
train_0104,28,25.6321,7.0799,48.5894,0,0.5868,127.0872,train
train_0105,21,1.4503,0.4006,1.7147,1,0.9841,2.3991,train
train_0106,42,2.0528,0.567,2.7483,1,0.98,2.4357,train
train_0107,3,3.959,1.0935,7.5867,0,0.9553,42.3182,train
train_0108,38,2.2933,0.6334,4.683,1,0.9603,14.554,train
train_0109,17,2.9916,0.8263,3.7665,1,0.9689,39.4004,train
train_0110,34,2.4681,0.6817,4.8269,1,0.9721,86.4959,train
train_0111,46,1.3093,0.3616,1.5367,1,0.9818,2.0573,train
train_0112,9,3.8018,1.0501,4.2724,1,0.9449,115.8723,train
train_0113,37,5.9282,1.6374,8.7551,0,0.9216,10.8725,train
train_0114,42,4.6387,1.2813,9.8302,0,0.9214,126.4286,train
train_0115,1,6.6176,1.8279,9.5179,0,0.9123,77.5692,train
train_0116,37,1.7082,0.4718,2.6646,1,0.9688,82.701,train
train_0117,9,1.07,0.2955,1.5685,1,0.9814,2.378,train
train_0118,17,1.8769,0.5184,3.3604,1,0.9743,2.5321,train
train_0119,40,2.061,0.5693,2.6131,1,0.9667,93.4543,train
train_0120,19,3.0522,0.8431,4.9335,1,0.9742,2.2234,train
train_0121,20,1.8383,0.5078,2.7571,1,0.974,86.3484,train
train_0122,24,3.7827,1.0448,4.7556,1,0.9322,90.7264,train
train_0123,4,1.1903,0.3288,1.6367,1,0.9855,2.5978,train
train_0124,16,2.1468,0.593,4.2439,1,0.973,101.9631,train
train_0125,7,3.0923,0.8541,4.7714,1,0.9655,88.0544,train
train_0126,24,1.8709,0.5168,2.1849,1,0.9693,98.0897,train
train_0127,38,3.4631,0.9566,5.1635,1,0.9527,4.4681,train
train_0128,18,3.725,1.0289,5.0609,1,0.9587,107.8833,train
train_0129,45,2.9412,0.8124,4.3939,1,0.9542,99.0849,train
train_0130,41,2.0104,0.5553,2.4462,1,0.9793,104.6092,train
train_0131,44,0.9966,0.2753,1.5836,1,0.9832,2.4125,train
train_0132,20,8.3638,2.3102,13.6465,0,0.8321,119.1484,train
train_0133,5,1.61,0.4447,2.5097,1,0.966,2.7973,train
train_0134,40,2.3924,0.6608,3.9921,1,0.9807,45.9764,train
train_0135,16,7.23,1.997,13.9061,0,0.8858,113.0957,train
train_0136,36,2.244,0.6198,3.8563,1,0.9723,14.3544,train
train_0137,8,1.4253,0.3937,2.7417,1,0.9827,73.1824,train
train_0138,26,3.8693,1.0688,5.0386,1,0.9557,2.1374,train
train_0139,5,4.4484,1.2287,9.6332,0,0.9154,15.4097,train
train_0140,43,6.3422,1.7518,12.0634,0,0.9472,12.9529,train
train_0141,19,1.844,0.5093,2.7593,1,0.9784,4.326,train
train_0142,14,2.5026,0.6912,5.5322,1,0.9671,82.9034,train
train_0143,5,1.8365,0.5073,2.7328,1,0.9618,2.4295,train
train_0144,17,22.0052,6.0781,40.5012,0,0.7155,100.046,train
