id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
train_0000,12,6.5714,1.8151,8.4647,0,0.9424,93.3828,train
train_0001,31,4.8663,1.3441,7.6102,0,0.9237,2.5917,train
train_0002,5,3.2252,0.8909,8.5722,0,0.9455,2.428,train
train_0003,48,7.9472,2.1951,10.0027,0,0.9269,2.2579,train
train_0004,17,4.0404,1.116,4.9134,1,0.9496,23.7141,train
train_0005,26,4.237,1.1703,5.7823,1,0.932,97.4162,train
train_0006,31,2.7805,0.768,3.6514,1,0.9573,2.2283,train
train_0007,25,5.4518,1.5059,7.186,1,0.9265,6.6302,train
train_0008,18,2.9978,0.828,4.6084,1,0.9702,37.7935,train
train_0009,5,7.39,2.0412,9.244,0,0.9136,2.42,train
train_0010,44,2.9564,0.8166,3.9073,1,0.9384,90.0959,train
train_0011,17,7.1892,1.9858,11.5674,0,0.8645,2.2517,train
train_0012,24,8.7278,2.4107,14.5175,0,0.8136,128.2682,train
train_0013,37,5.3434,1.4759,7.2254,1,0.9092,108.9735,train
train_0014,30,2.9947,0.8272,5.7224,1,0.9552,2.4167,train
train_0015,44,4.9671,1.372,11.2216,0,0.8959,2.7845,train
train_0016,40,7.5242,2.0783,13.1062,0,0.9121,2.5732,train
train_0017,26,6.5606,1.8121,8.6369,0,0.9179,57.0437,train
train_0018,9,2.7845,0.7691,3.81,1,0.9475,2.3238,train
train_0019,50,4.1811,1.1549,8.9889,0,0.9606,2.4682,train
train_0020,1,8.6644,2.3932,12.9612,0,0.8745,90.91,train
train_0021,42,13.2191,3.6513,25.3917,0,0.7878,109.5776,train
train_0022,28,6.9686,1.9248,8.6718,0,0.8842,4.83,train
train_0023,50,3.9499,1.091,8.8715,0,0.9611,4.3645,train
train_0024,29,5.9119,1.6329,8.1726,0,0.9442,2.4481,train
train_0025,9,4.8006,1.326,7.2057,1,0.9145,2.5673,train
train_0026,19,4.4158,1.2197,7.1188,1,0.9374,27.571,train
train_0027,5,4.5509,1.257,7.5412,0,0.9491,2.3138,train
train_0028,29,6.3294,1.7483,8.5038,0,0.9318,73.925,train
train_0029,46,3.867,1.0681,5.8087,1,0.9384,2.2859,train
train_0030,34,5.0917,1.4064,6.6216,1,0.9119,2.5746,train
train_0031,18,8.2801,2.2871,11.1051,0,0.8732,90.4234,train
train_0032,34,7.0315,1.9422,10.4181,0,0.9323,34.8956,train
train_0033,29,4.496,1.2419,6.636,1,0.936,5.2225,train
train_0034,6,3.4305,0.9476,6.3046,1,0.9402,21.4807,train
train_0035,12,5.3328,1.473,10.4554,0,0.9367,63.6609,train
train_0036,17,11.6408,3.2153,24.0289,0,0.7548,15.363,train
train_0037,6,3.4813,0.9616,5.6853,1,0.9478,90.5263,train
train_0038,50,6.3178,1.7451,8.4907,0,0.9374,1.9356,train
train_0039,12,3.4239,0.9457,4.605,1,0.9391,2.3469,train
train_0040,17,4.3023,1.1884,5.4488,1,0.9294,2.2409,train
train_0041,42,5.024,1.3877,9.9275,0,0.9286,4.9625,train
train_0042,19,17.4204,4.8118,30.7388,0,0.8066,91.5579,train
train_0043,25,7.587,2.0956,10.5728,0,0.9244,45.2511,train
train_0044,8,4.327,1.1952,5.0972,1,0.9374,2.1225,train
train_0045,19,3.5909,0.9919,5.9824,1,0.955,2.6209,train
train_0046,20,13.3768,3.6949,28.1778,0,0.8362,11.4664,train
train_0047,18,13.9407,3.8506,24.9945,0,0.8535,47.1476,train
train_0048,31,8.3347,2.3022,9.9729,0,0.875,107.8503,train
train_0049,45,6.1157,1.6892,10.5961,0,0.9438,2.1469,train
train_0050,15,7.8647,2.1723,12.0331,0,0.866,2.4676,train
train_0051,36,4.1645,1.1503,6.5379,1,0.9163,104.9116,train
train_0052,14,2.8819,0.796,4.4623,1,0.9622,2.4122,train
train_0053,19,5.0502,1.3949,6.6571,1,0.9122,102.9299,train
train_0054,4,4.6407,1.2818,7.0707,1,0.9459,74.6632,train
train_0055,15,5.382,1.4866,10.0158,0,0.9377,2.6996,train
train_0056,42,4.403,1.2162,8.6234,0,0.9405,97.214,train
train_0057,21,3.1357,0.8661,5.9727,1,0.9462,2.4641,train
train_0058,5,7.8308,2.163,14.5027,0,0.8768,2.4962,train
train_0059,6,3.5281,0.9745,7.7701,0,0.9366,2.1835,train
train_0060,45,15.9227,4.3981,20.8812,0,0.8525,100.8751,train
train_0061,34,2.9992,0.8284,7.1255,1,0.9598,92.9388,train
train_0062,4,5.8378,1.6125,8.6424,0,0.9401,36.0557,train
train_0063,21,6.1979,1.712,9.9474,0,0.9351,22.6449,train
train_0064,31,3.7103,1.0248,5.5989,1,0.9413,37.0962,train
train_0065,47,2.8994,0.8009,6.1547,1,0.9435,2.2593,train
train_0066,6,5.1736,1.429,11.0602,0,0.9504,61.6582,train
train_0067,48,3.8749,1.0703,6.8233,1,0.942,2.6722,train
train_0068,7,3.8604,1.0663,6.2661,1,0.929,103.4359,train
train_0069,42,4.7932,1.324,11.3391,0,0.9474,49.609,train
train_0070,17,4.3344,1.1972,7.2702,0,0.9181,113.1043,train
train_0071,32,4.3273,1.1953,5.5051,1,0.9199,119.8037,train
train_0072,31,6.4895,1.7925,9.4188,0,0.9313,2.5591,train
train_0073,29,6.3445,1.7524,8.1147,0,0.8983,86.9363,train
train_0074,20,4.9493,1.3671,7.1588,1,0.9325,102.7251,train
train_0075,8,15.9289,4.3998,36.6097,0,0.8271,67.2477,train
train_0076,42,9.0071,2.4879,17.9526,0,0.8971,96.3404,train
train_0077,29,3.3181,0.9165,5.299,1,0.9556,2.7011,train
train_0078,20,8.7716,2.4228,13.3474,0,0.8674,9.3464,train
train_0079,41,9.0263,2.4932,13.8237,0,0.8106,2.7464,train
train_0080,30,6.5019,1.7959,10.1009,0,0.9356,70.867,train
train_0081,45,7.0752,1.9543,8.3568,0,0.8929,84.4058,train
train_0082,14,4.877,1.3471,7.481,0,0.9231,2.5817,train
train_0083,7,6.2614,1.7295,9.1045,0,0.9254,29.6882,train
train_0084,47,37.0018,10.2204,49.9456,0,0.6453,120.4801,train
train_0085,2,4.5312,1.2516,6.1255,1,0.9538,2.4038,train
train_0086,9,1.402,0.3873,2.6433,1,0.974,2.1055,train
train_0087,9,6.8413,1.8897,13.0103,0,0.9228,98.8585,train
train_0088,44,11.7461,3.2444,16.3002,0,0.7794,116.2382,train
train_0089,43,5.0362,1.3911,7.5065,0,0.9215,24.1362,train
train_0090,48,3.7453,1.0345,5.8437,1,0.9442,2.372,train
train_0091,37,5.4576,1.5075,8.998,0,0.9299,71.7037,train
train_0092,37,3.0589,0.8449,6.0863,1,0.933,100.5427,train
train_0093,28,5.4483,1.5049,13.8945,0,0.9451,2.4678,train
train_0094,18,4.9639,1.3711,10.7133,0,0.8919,2.5283,train
train_0095,40,6.8213,1.8841,9.2879,0,0.942,3.0758,train
train_0096,26,4.2591,1.1764,8.5013,0,0.9535,4.4164,train
train_0097,38,3.272,0.9038,4.8237,1,0.9377,66.8453,train
train_0098,14,5.0633,1.3986,9.0156,0,0.9362,8.6843,train
train_0099,8,14.0065,3.8688,17.3418,0,0.8367,11.5574,train
train_0100,9,4.1619,1.1496,6.5103,1,0.9367,73.2665,train
train_0101,24,4.3334,1.1969,7.1604,1,0.9505,2.4546,train
train_0102,38,4.7514,1.3124,8.58,0,0.9149,91.0091,train
train_0103,2,5.4919,1.5169,8.2795,0,0.9463,2.2519,train
train_0104,28,29.653,8.1906,56.6081,0,0.5263,127.0872,train
train_0105,21,5.6408,1.5581,8.3335,0,0.934,2.3991,train
train_0106,42,4.4446,1.2277,5.938,1,0.9444,2.4357,train
train_0107,3,9.1243,2.5203,16.3198,0,0.9004,42.3182,train
train_0108,38,4.246,1.1728,5.6644,1,0.9387,14.554,train
train_0109,17,3.5492,0.9803,6.5505,1,0.9699,39.4004,train
train_0110,34,7.0311,1.9421,13.9187,0,0.9099,86.4959,train
train_0111,46,3.5114,0.9699,5.5213,1,0.9582,2.0573,train
