threshold_pct,threshold_px,pck,split
0.25,0.905,0.0,train
0.5,1.81,0.0,train
0.75,2.715,0.005,train
1.0,3.62,0.01,train
1.5,5.431,0.13,train
2.0,7.241,0.4,train
3.0,10.861,0.76,train
5.0,18.102,0.925,train
7.5,27.153,0.965,train
10.0,36.204,0.985,train
0.25,0.905,0.0,val
0.5,1.81,0.0,val
0.75,2.715,0.0,val
1.0,3.62,0.02,val
1.5,5.431,0.16,val
2.0,7.241,0.39,val
3.0,10.861,0.765,val
5.0,18.102,0.96,val
7.5,27.153,0.99,val
10.0,36.204,1.0,val
0.25,0.905,0.0,test
0.5,1.81,0.0,test
0.75,2.715,0.005,test
1.0,3.62,0.04,test
1.5,5.431,0.155,test
2.0,7.241,0.405,test
3.0,10.861,0.78,test
5.0,18.102,0.92,test
7.5,27.153,0.975,test
10.0,36.204,0.99,test
