threshold_pct,threshold_px,pck,split
0.25,0.905,0.01,train
0.5,1.81,0.08,train
0.75,2.715,0.27,train
1.0,3.62,0.495,train
1.5,5.431,0.775,train
2.0,7.241,0.845,train
3.0,10.861,0.91,train
5.0,18.102,0.96,train
7.5,27.153,0.975,train
10.0,36.204,0.98,train
0.25,0.905,0.0,val
0.5,1.81,0.085,val
0.75,2.715,0.26,val
1.0,3.62,0.505,val
1.5,5.431,0.76,val
2.0,7.241,0.87,val
3.0,10.861,0.93,val
5.0,18.102,0.99,val
7.5,27.153,1.0,val
10.0,36.204,1.0,val
0.25,0.905,0.0,test
0.5,1.81,0.09,test
0.75,2.715,0.3,test
1.0,3.62,0.475,test
1.5,5.431,0.685,test
2.0,7.241,0.83,test
3.0,10.861,0.905,test
5.0,18.102,0.96,test
7.5,27.153,0.98,test
10.0,36.204,0.995,test
