id,scan,input_psnr,input_ssim,psnr,ssim,split
test_0000,35,21.6,0.8987,27.2667,0.9662,test
test_0001,49,8.7141,0.7563,22.2749,0.8938,test
test_0002,35,12.2439,0.8163,26.1211,0.9503,test
test_0003,49,10.7468,0.8073,23.9692,0.9301,test
test_0004,11,16.4401,0.8885,27.228,0.967,test
test_0005,11,16.8846,0.8867,27.4194,0.9728,test
test_0006,39,14.9463,0.8857,27.5446,0.9658,test
test_0007,39,21.6765,0.9118,27.6134,0.9571,test
test_0008,11,12.7799,0.8731,27.7978,0.975,test
test_0009,35,16.0315,0.8819,27.0604,0.9626,test
test_0010,39,21.8455,0.8992,26.1955,0.9461,test
test_0011,11,12.5907,0.88,27.494,0.9733,test
test_0012,33,5.6154,0.6648,27.022,0.9605,test
test_0013,35,16.9926,0.8534,26.5801,0.9576,test
test_0014,49,13.7003,0.8813,27.6289,0.9677,test
test_0015,33,22.5148,0.9131,25.6848,0.9567,test
test_0016,49,19.4002,0.8747,27.4316,0.9666,test
test_0017,11,11.5216,0.8607,27.3375,0.9683,test
test_0018,33,11.2756,0.851,27.2901,0.9633,test
test_0019,33,17.4422,0.8977,27.6604,0.9686,test
test_0020,49,14.7258,0.8546,25.4473,0.9489,test
test_0021,33,21.6896,0.9019,27.3694,0.9643,test
test_0022,11,5.7573,0.672,26.7777,0.9664,test
test_0023,49,12.4038,0.8282,24.5377,0.9327,test
test_0024,33,16.2351,0.83,23.6461,0.924,test
test_0025,33,14.8904,0.8545,27.0719,0.9615,test
test_0026,35,22.0494,0.887,26.7429,0.959,test
test_0027,39,21.676,0.9106,27.9732,0.968,test
test_0028,49,4.6905,0.599,25.249,0.9411,test
test_0029,39,18.6577,0.9076,29.0925,0.974,test
test_0030,39,19.1725,0.8949,27.0094,0.952,test
test_0031,33,11.9058,0.8348,25.8761,0.9518,test
test_0032,35,17.6651,0.8072,24.1745,0.9271,test
test_0033,11,21.8346,0.9294,27.3836,0.9728,test
test_0034,35,19.7626,0.8192,24.5268,0.9345,test
test_0035,33,13.1905,0.8651,28.096,0.9702,test
test_0036,49,19.7561,0.8666,25.1247,0.9473,test
test_0037,11,20.7615,0.8664,24.325,0.946,test
test_0038,11,20.9181,0.9226,27.2453,0.968,test
test_0039,49,15.7448,0.8442,23.9234,0.9338,test
