id,scan,input_psnr,input_ssim,psnr,ssim,split
train_0000,12,19.2154,0.8138,23.1687,0.9022,train
train_0001,31,20.6721,0.8478,25.8591,0.9465,train
train_0002,5,16.2714,0.8292,25.5711,0.9507,train
train_0003,48,13.2589,0.8943,27.0843,0.9653,train
train_0004,17,21.4917,0.9292,27.2354,0.9567,train
train_0005,26,15.6605,0.825,22.4334,0.8757,train
train_0006,31,18.8848,0.8391,25.5153,0.9448,train
train_0007,25,6.8729,0.7009,21.7506,0.8904,train
train_0008,18,8.2229,0.7066,21.5044,0.8936,train
train_0009,5,5.7998,0.6554,21.4178,0.8843,train
train_0010,44,12.0735,0.8388,23.2556,0.9194,train
train_0011,17,5.2109,0.6937,26.5845,0.9537,train
train_0012,24,22.774,0.9306,27.8464,0.9647,train
train_0013,37,9.4119,0.7584,23.8979,0.9361,train
train_0014,30,7.4303,0.7628,26.6191,0.959,train
train_0015,44,18.1312,0.8706,22.9614,0.9176,train
train_0016,40,13.5579,0.8322,24.4265,0.9287,train
train_0017,26,20.5152,0.8454,24.7772,0.9248,train
train_0018,9,18.5159,0.793,21.2448,0.8702,train
train_0019,50,6.7227,0.6957,26.708,0.9549,train
train_0020,1,17.0979,0.7604,20.1276,0.8257,train
train_0021,42,4.9825,0.6089,22.6328,0.9062,train
train_0022,28,13.2268,0.7888,22.4128,0.8908,train
train_0023,50,13.3166,0.8061,25.179,0.9332,train
train_0024,29,10.5453,0.7756,24.9245,0.9439,train
train_0025,9,18.3886,0.7926,21.5653,0.8869,train
train_0026,19,18.2551,0.8294,22.5081,0.9026,train
train_0027,5,12.0739,0.8276,25.5227,0.9494,train
train_0028,29,9.6381,0.7633,25.0547,0.9424,train
train_0029,46,19.2933,0.8805,24.8783,0.9567,train
train_0030,34,9.1779,0.7723,25.698,0.9509,train
train_0031,18,16.3766,0.8098,22.5226,0.9224,train
train_0032,34,10.7878,0.8129,27.0454,0.9612,train
train_0033,29,12.0745,0.7883,20.0684,0.8335,train
train_0034,6,19.8262,0.8384,22.667,0.904,train
train_0035,12,16.5137,0.8132,25.1912,0.9237,train
train_0036,17,13.4231,0.8919,26.1905,0.9501,train
train_0037,6,13.2961,0.8096,22.727,0.9041,train
train_0038,50,10.1602,0.7693,22.6829,0.8911,train
train_0039,12,6.43,0.6742,24.9691,0.9254,train
train_0040,17,22.1971,0.9314,29.3768,0.9758,train
train_0041,42,19.6371,0.8298,22.3228,0.8978,train
train_0042,19,12.8244,0.8239,26.0734,0.9551,train
train_0043,25,7.9809,0.7509,23.3455,0.9254,train
train_0044,8,14.4656,0.8324,24.4995,0.9409,train
train_0045,19,15.2092,0.8473,26.0948,0.9462,train
train_0046,20,19.8613,0.9324,30.5674,0.9823,train
train_0047,18,10.134,0.7886,26.8222,0.9649,train
train_0048,31,14.6334,0.8169,21.4622,0.8614,train
train_0049,45,18.8658,0.8771,24.4968,0.9477,train
train_0050,15,20.8006,0.8656,24.0168,0.9254,train
train_0051,36,9.834,0.7418,21.1964,0.8794,train
train_0052,14,21.2704,0.9296,26.491,0.9517,train
train_0053,19,12.4813,0.8135,25.0837,0.9396,train
train_0054,4,16.9568,0.8635,28.463,0.9738,train
train_0055,15,13.75,0.8318,21.132,0.8807,train
train_0056,42,19.0954,0.8316,23.2268,0.9132,train
train_0057,21,10.6751,0.8219,23.3575,0.9269,train
train_0058,5,8.1104,0.7333,21.6898,0.8909,train
train_0059,6,12.7321,0.8235,21.4306,0.8809,train
train_0060,45,8.159,0.7618,23.759,0.9354,train
train_0061,34,12.0126,0.793,23.1237,0.9066,train
train_0062,4,7.7152,0.7508,28.3467,0.9747,train
train_0063,21,7.3488,0.7474,23.9958,0.9394,train
train_0064,31,20.18,0.8469,21.3668,0.8766,train
train_0065,47,20.2626,0.8422,22.7558,0.9038,train
train_0066,6,6.3496,0.6895,26.298,0.9559,train
train_0067,48,18.2335,0.9131,25.0293,0.9464,train
train_0068,7,13.0418,0.8059,21.3983,0.8813,train
train_0069,42,8.399,0.7728,27.1457,0.9678,train
train_0070,17,9.1883,0.8363,25.2681,0.9415,train
train_0071,32,21.3979,0.8809,26.2797,0.9572,train
train_0072,31,15.3366,0.8278,24.383,0.9305,train
train_0073,29,10.3259,0.7797,24.4778,0.9298,train
train_0074,20,11.6169,0.8939,25.5618,0.9509,train
train_0075,8,20.9247,0.8615,26.28,0.9573,train
train_0076,42,10.3401,0.7827,24.5667,0.9397,train
train_0077,29,14.8166,0.8122,21.088,0.8639,train
train_0078,20,11.3393,0.8765,29.1677,0.9771,train
train_0079,41,10.4525,0.8102,22.9759,0.9061,train
train_0080,30,15.7081,0.8824,26.7434,0.9578,train
train_0081,45,10.4086,0.815,22.4602,0.9104,train
train_0082,14,21.8607,0.9293,28.6562,0.9675,train
train_0083,7,5.0688,0.6149,26.5803,0.9596,train
train_0084,47,19.6982,0.8238,21.1314,0.8451,train
train_0085,2,7.8957,0.7379,26.2267,0.9579,train
train_0086,9,18.4533,0.791,23.4282,0.9289,train
train_0087,9,17.7948,0.7741,21.5953,0.889,train
train_0088,44,15.8655,0.853,23.2552,0.9213,train
train_0089,43,7.99,0.7352,24.4921,0.9365,train
train_0090,48,11.6913,0.8914,29.0708,0.9781,train
train_0091,37,20.2905,0.8488,26.7558,0.9636,train
train_0092,37,18.5133,0.8212,20.2372,0.8512,train
train_0093,28,19.2399,0.8482,23.543,0.9205,train
train_0094,18,10.092,0.751,20.8291,0.8744,train
train_0095,40,19.0096,0.8477,22.3531,0.8912,train
train_0096,26,13.9488,0.8238,23.8969,0.9038,train
train_0097,38,8.0407,0.6943,22.0488,0.8672,train
train_0098,14,10.4965,0.8696,26.2374,0.9509,train
train_0099,8,13.9671,0.8234,20.8729,0.8683,train
train_0100,9,17.9959,0.796,23.6038,0.9309,train
train_0101,24,10.3886,0.8729,28.3569,0.9682,train
train_0102,38,12.1256,0.7709,22.2694,0.8765,train
train_0103,2,7.1604,0.7442,23.4814,0.922,train
train_0104,28,17.0829,0.7996,23.1265,0.907,train
train_0105,21,6.3226,0.709,24.532,0.9372,train
train_0106,42,8.7247,0.7482,24.3864,0.9327,train
train_0107,3,19.7347,0.8827,27.7287,0.9621,train
train_0108,38,7.7392,0.6969,22.0325,0.8633,train
train_0109,17,9.1628,0.8298,28.3549,0.9696,train
train_0110,34,19.997,0.8418,24.0501,0.9236,train
train_0111,46,16.2667,0.8594,22.2998,0.9156,train
train_0112,9,18.9156,0.7962,21.9817,0.8908,train
train_0113,37,13.155,0.8052,21.6284,0.8911,train
train_0114,42,16.7979,0.8166,21.6997,0.8793,train
train_0115,1,8.5067,0.6649,20.5424,0.8367,train
train_0116,37,18.2462,0.8357,24.1446,0.9355,train
train_0117,9,17.7698,0.7823,21.8207,0.8948,train
train_0118,17,16.1894,0.912,27.7143,0.9622,train
train_0119,40,13.2503,0.8088,23.3967,0.912,train
train_0120,19,19.5157,0.8702,26.2345,0.9505,train
train_0121,20,12.3512,0.88,24.8951,0.9447,train
train_0122,24,20.3722,0.9362,24.4288,0.9432,train
train_0123,4,11.7584,0.8176,27.0536,0.9664,train
train_0124,16,11.6599,0.7948,23.6829,0.9224,train
train_0125,7,18.361,0.8408,22.7698,0.9098,train
train_0126,24,24.5156,0.9414,27.9286,0.9649,train
train_0127,38,6.2902,0.6358,21.6448,0.8556,train
train_0128,18,17.7181,0.8077,22.9478,0.9194,train
train_0129,45,10.9358,0.8255,22.9825,0.9173,train
train_0130,41,17.1641,0.8674,21.5093,0.8823,train
train_0131,44,19.5239,0.8701,24.4132,0.938,train
train_0132,20,16.0273,0.9239,29.7038,0.9803,train
train_0133,5,18.1824,0.845,26.3232,0.9589,train
train_0134,40,20.0162,0.8488,23.5046,0.9171,train
train_0135,16,14.7391,0.8221,21.9136,0.8841,train
train_0136,36,15.5602,0.796,24.6544,0.9372,train
train_0137,8,10.8322,0.7876,23.1586,0.9159,train
train_0138,26,10.8881,0.7874,21.4821,0.8581,train
train_0139,5,19.8956,0.8508,23.9444,0.9308,train
train_0140,43,8.8997,0.7571,22.3287,0.9026,train
train_0141,19,20.8894,0.8498,25.744,0.9476,train
train_0142,14,10.2909,0.8587,26.6712,0.953,train
train_0143,5,14.056,0.8248,26.4811,0.9593,train
train_0144,17,9.061,0.8177,25.9809,0.9556,train
train_0145,36,16.618,0.8037,21.1824,0.8683,train
train_0146,1,13.6655,0.7377,20.0624,0.8348,train
train_0147,26,6.6586,0.6893,22.7097,0.8878,train
train_0148,34,19.8053,0.8334,23.1823,0.9129,train
train_0149,3,16.3415,0.8262,23.903,0.9302,train
train_0150,41,5.0519,0.6357,21.2305,0.8792,train
train_0151,18,17.761,0.8166,20.0356,0.8518,train
train_0152,50,17.4886,0.8589,27.3121,0.9589,train
train_0153,38,19.2483,0.8114,20.2772,0.8263,train
train_0154,21,11.2476,0.8379,23.0994,0.9227,train
train_0155,1,17.8566,0.7752,23.272,0.9008,train
train_0156,25,16.9581,0.8546,22.1722,0.8952,train
train_0157,45,11.3272,0.8125,23.5819,0.9306,train
train_0158,26,12.152,0.8091,26.0475,0.9417,train
train_0159,14,10.6192,0.8739,28.8123,0.9674,train
train_0160,24,16.6064,0.9287,29.69,0.9733,train
train_0161,29,13.7338,0.825,26.2502,0.9565,train
train_0162,37,15.4859,0.8086,24.2108,0.9403,train
train_0163,34,14.665,0.8099,23.9442,0.9268,train
train_0164,6,10.7078,0.7947,24.8384,0.9416,train
train_0165,37,14.8974,0.8177,25.9704,0.9572,train
train_0166,34,9.3722,0.7682,25.189,0.9428,train
train_0167,41,7.6792,0.7553,26.368,0.9481,train
train_0168,46,13.0143,0.8357,21.7886,0.9099,train
train_0169,28,16.1104,0.8078,22.7631,0.8977,train
train_0170,18,13.9287,0.8055,22.2058,0.8998,train
train_0171,29,10.1922,0.7736,23.3336,0.9118,train
train_0172,1,16.031,0.7386,20.4754,0.8459,train
train_0173,18,17.634,0.84,26.6954,0.9649,train
train_0174,19,19.6516,0.8431,20.7985,0.8702,train
train_0175,2,9.9338,0.8079,24.525,0.9366,train
train_0176,30,11.4627,0.8221,23.4063,0.9175,train
train_0177,24,24.5613,0.9483,31.6821,0.982,train
train_0178,47,12.4367,0.8243,25.8474,0.9512,train
train_0179,30,14.7893,0.8591,22.6027,0.9007,train
train_0180,36,18.0649,0.832,25.4949,0.9445,train
train_0181,46,19.4587,0.8593,21.0028,0.892,train
train_0182,18,14.5686,0.8227,26.1531,0.9598,train
train_0183,48,18.0394,0.9237,28.0105,0.9726,train
train_0184,47,16.6163,0.8275,21.0823,0.8468,train
train_0185,3,11.6969,0.8209,27.9685,0.9668,train
train_0186,26,9.3623,0.7829,26.547,0.9491,train
train_0187,32,14.2378,0.8572,25.8726,0.9494,train
train_0188,48,19.3794,0.9245,28.5256,0.9758,train
train_0189,28,12.3646,0.778,22.725,0.9023,train
train_0190,50,16.9632,0.8176,24.0559,0.9243,train
train_0191,42,9.2588,0.7727,26.4724,0.9585,train
train_0192,29,18.1086,0.834,22.9179,0.8991,train
train_0193,6,16.3102,0.8426,25.6356,0.9489,train
train_0194,25,16.221,0.8489,21.4953,0.8821,train
train_0195,31,19.251,0.8478,26.1152,0.9476,train
train_0196,29,6.9686,0.6936,22.3083,0.8909,train
train_0197,9,18.572,0.7979,21.1684,0.8556,train
train_0198,8,15.702,0.8349,24.2951,0.9341,train
train_0199,36,15.6376,0.7856,22.7828,0.9089,train
val_0000,13,15.7813,0.8244,24.1888,0.9037,val
val_0001,13,14.5715,0.8089,21.5947,0.8521,val
val_0002,23,8.872,0.8082,25.5401,0.9477,val
val_0003,27,14.8568,0.8209,21.1371,0.8712,val
val_0004,27,15.2133,0.8236,22.8479,0.91,val
val_0005,10,12.8611,0.8411,25.5065,0.9427,val
val_0006,27,13.3705,0.842,26.3778,0.9589,val
val_0007,22,18.1272,0.8559,22.2399,0.9099,val
val_0008,22,6.9139,0.7147,22.3367,0.9103,val
val_0009,27,11.9712,0.808,22.9909,0.9155,val
val_0010,13,16.7993,0.8396,23.5531,0.895,val
val_0011,10,19.0883,0.8951,28.6279,0.9679,val
val_0012,10,6.3555,0.7026,26.8508,0.9597,val
val_0013,23,17.4933,0.8862,26.0479,0.9561,val
val_0014,22,12.5559,0.8294,22.6052,0.9169,val
val_0015,10,10.1367,0.8018,23.8667,0.9283,val
val_0016,27,9.4967,0.7688,21.7222,0.8785,val
val_0017,22,10.8617,0.8014,23.6975,0.9388,val
val_0018,22,12.8396,0.8398,24.1815,0.9405,val
val_0019,22,9.0224,0.7914,25.0315,0.9555,val
val_0020,23,13.4927,0.8686,25.4961,0.9498,val
val_0021,13,19.4339,0.8419,21.5692,0.8603,val
val_0022,13,11.6785,0.8074,24.5455,0.9126,val
val_0023,22,18.5947,0.8445,21.3105,0.8817,val
val_0024,13,19.3956,0.8443,25.0346,0.9192,val
val_0025,22,8.6804,0.7734,23.5026,0.9335,val
val_0026,10,21.1037,0.8682,27.5361,0.9636,val
val_0027,10,18.7544,0.8675,27.4314,0.9629,val
val_0028,22,18.821,0.8684,23.3489,0.9306,val
val_0029,22,19.1724,0.8543,22.267,0.911,val
val_0030,23,21.0224,0.8984,24.464,0.9287,val
val_0031,22,15.545,0.8486,23.3021,0.9346,val
val_0032,22,20.4102,0.8594,21.9473,0.9045,val
val_0033,13,11.5532,0.7958,21.472,0.8463,val
val_0034,27,6.5004,0.6807,23.6495,0.9273,val
val_0035,23,20.7412,0.8875,25.8008,0.9518,val
val_0036,27,19.6994,0.8414,20.6388,0.8532,val
val_0037,27,12.5556,0.8367,27.1666,0.9662,val
val_0038,13,21.6099,0.8532,24.3346,0.9104,val
val_0039,27,8.1581,0.7389,22.5465,0.9078,val
val_0040,27,15.945,0.8294,22.2316,0.8957,val
val_0041,22,7.7318,0.7411,23.8676,0.9394,val
