id,scan,input_psnr,input_ssim,psnr,ssim,split
train_0000,12,20.3483,0.8493,23.3243,0.9167,train
train_0001,31,21.9613,0.8921,27.8737,0.964,train
train_0002,5,16.9448,0.8802,27.2419,0.9634,train
train_0003,48,13.2346,0.9102,28.4174,0.9728,train
train_0004,17,22.3503,0.9463,29.0564,0.9691,train
train_0005,26,15.43,0.8353,23.1273,0.8974,train
train_0006,31,19.7923,0.8837,26.5416,0.9552,train
train_0007,25,6.8054,0.7108,22.9911,0.9135,train
train_0008,18,8.2921,0.7323,21.9763,0.9024,train
train_0009,5,5.7981,0.6626,21.6355,0.894,train
train_0010,44,12.0466,0.8537,24.8099,0.9401,train
train_0011,17,5.2242,0.7028,28.2861,0.968,train
train_0012,24,24.6274,0.9451,27.18,0.9674,train
train_0013,37,9.4874,0.7951,25.8992,0.9558,train
train_0014,30,7.4368,0.7906,28.3733,0.9746,train
train_0015,44,18.603,0.8908,24.7596,0.9417,train
train_0016,40,13.775,0.8734,27.0706,0.9573,train
train_0017,26,21.4761,0.8765,24.6485,0.9256,train
train_0018,9,19.2776,0.8172,22.7814,0.9104,train
train_0019,50,6.7489,0.7441,26.7975,0.9646,train
train_0020,1,18.387,0.8202,22.9614,0.9021,train
train_0021,42,4.9281,0.6195,24.3309,0.933,train
train_0022,28,13.5022,0.8199,24.2206,0.9258,train
train_0023,50,13.3519,0.8507,26.8165,0.9546,train
train_0024,29,10.6682,0.8386,26.731,0.9654,train
train_0025,9,19.3051,0.835,23.2777,0.9207,train
train_0026,19,18.9692,0.8517,22.9973,0.9146,train
train_0027,5,12.2623,0.8754,27.8734,0.9694,train
train_0028,29,9.6917,0.8091,26.6634,0.9626,train
train_0029,46,21.0951,0.9402,27.7851,0.9816,train
train_0030,34,9.2913,0.8306,27.7359,0.9704,train
train_0031,18,17.1538,0.8897,26.247,0.9693,train
train_0032,34,10.918,0.8651,28.8043,0.9752,train
train_0033,29,11.7373,0.7951,21.0093,0.8634,train
train_0034,6,21.0309,0.8562,22.4898,0.9047,train
train_0035,12,17.24,0.8685,26.2092,0.9464,train
train_0036,17,13.5846,0.9026,25.7282,0.9529,train
train_0037,6,13.3888,0.824,22.1645,0.9047,train
train_0038,50,10.1932,0.793,24.0904,0.9183,train
train_0039,12,6.3863,0.7099,26.2716,0.955,train
train_0040,17,23.6379,0.9613,29.9712,0.9783,train
train_0041,42,20.4688,0.8559,22.9997,0.9118,train
train_0042,19,13.1189,0.8856,28.2941,0.973,train
train_0043,25,8.0244,0.7658,22.8415,0.9194,train
train_0044,8,14.7985,0.8739,25.6972,0.9534,train
train_0045,19,15.6691,0.9047,28.9341,0.9707,train
train_0046,20,20.5388,0.9539,30.8149,0.981,train
train_0047,18,10.1993,0.8444,28.4298,0.9803,train
train_0048,31,14.8802,0.8358,23.274,0.9056,train
train_0049,45,19.9311,0.9242,27.0028,0.9699,train
train_0050,15,22.3451,0.8955,26.1475,0.9488,train
train_0051,36,10.0265,0.7697,23.1518,0.9188,train
train_0052,14,22.0408,0.9461,29.1482,0.9703,train
train_0053,19,12.4323,0.8533,27.5601,0.9637,train
train_0054,4,17.863,0.9339,29.35,0.9807,train
train_0055,15,13.884,0.8471,22.7117,0.9075,train
train_0056,42,20.195,0.867,24.8914,0.9438,train
train_0057,21,10.773,0.8389,23.439,0.9297,train
train_0058,5,8.0546,0.7452,22.8907,0.9117,train
train_0059,6,12.7358,0.8317,21.9402,0.8951,train
train_0060,45,8.1119,0.7903,26.3374,0.9637,train
train_0061,34,12.0693,0.8327,25.9692,0.9469,train
train_0062,4,7.787,0.7924,29.16,0.9788,train
train_0063,21,7.402,0.7769,27.1561,0.9686,train
train_0064,31,21.2649,0.8771,24.3999,0.9289,train
train_0065,47,22.3668,0.9003,26.4167,0.9561,train
train_0066,6,6.4037,0.7277,27.1011,0.9675,train
train_0067,48,18.3714,0.9262,26.5892,0.962,train
train_0068,7,12.7839,0.8154,22.0453,0.8953,train
train_0069,42,8.4981,0.8374,27.3776,0.978,train
train_0070,17,8.8028,0.8288,26.33,0.9532,train
train_0071,32,22.986,0.9136,27.1522,0.9664,train
train_0072,31,15.6472,0.8567,26.1648,0.948,train
train_0073,29,10.409,0.8242,26.9278,0.962,train
train_0074,20,11.6499,0.8967,24.7231,0.9479,train
train_0075,8,22.8369,0.9169,28.5209,0.9709,train
train_0076,42,10.28,0.8131,25.7339,0.9545,train
train_0077,29,14.8324,0.841,23.6929,0.9157,train
train_0078,20,11.3986,0.893,28.4153,0.9723,train
train_0079,41,10.4918,0.8206,22.8273,0.91,train
train_0080,30,15.8604,0.9213,29.3298,0.9766,train
train_0081,45,10.4705,0.8348,24.3004,0.9396,train
train_0082,14,23.1201,0.96,30.5167,0.9803,train
train_0083,7,5.0487,0.6417,27.8803,0.9718,train
train_0084,47,20.5321,0.829,21.0064,0.8527,train
train_0085,2,7.9271,0.7739,27.7102,0.9739,train
train_0086,9,19.563,0.8527,25.0533,0.95,train
train_0087,9,18.4123,0.8001,20.8208,0.8652,train
train_0088,44,16.2533,0.874,24.9125,0.9448,train
train_0089,43,7.9293,0.7676,26.3012,0.9601,train
train_0090,48,11.7555,0.9162,29.3398,0.9826,train
train_0091,37,23.1536,0.9291,28.3914,0.9742,train
train_0092,37,19.3599,0.8371,21.6292,0.8896,train
train_0093,28,20.3355,0.9056,25.6966,0.9512,train
train_0094,18,10.1449,0.7748,22.9705,0.9171,train
train_0095,40,19.9141,0.8692,23.694,0.9143,train
train_0096,26,13.9623,0.871,27.9622,0.9598,train
train_0097,38,7.8665,0.7098,23.8073,0.9101,train
train_0098,14,10.4525,0.8839,29.1489,0.9738,train
train_0099,8,14.0513,0.8307,21.7748,0.895,train
train_0100,9,19.4303,0.8795,25.5112,0.9594,train
train_0101,24,10.3284,0.8818,29.1625,0.9744,train
train_0102,38,11.9768,0.8047,24.8871,0.9291,train
train_0103,2,7.1617,0.7611,25.56,0.953,train
train_0104,28,17.9375,0.8418,24.6607,0.9346,train
train_0105,21,6.2929,0.7223,26.8292,0.962,train
train_0106,42,8.6327,0.7751,26.8761,0.9604,train
train_0107,3,21.4499,0.9445,28.8936,0.975,train
train_0108,38,7.7691,0.7158,23.0827,0.8993,train
train_0109,17,9.167,0.844,28.1361,0.9691,train
train_0110,34,21.4224,0.8783,25.8412,0.9487,train
train_0111,46,16.1963,0.8753,22.5657,0.9217,train
train_0112,9,20.3308,0.8473,24.6242,0.9384,train
train_0113,37,13.2883,0.8464,25.3502,0.9453,train
train_0114,42,17.172,0.8319,22.1157,0.887,train
train_0115,1,8.5879,0.6877,21.2339,0.8656,train
train_0116,37,19.7088,0.9045,28.1583,0.9676,train
train_0117,9,18.745,0.8348,24.2362,0.9405,train
train_0118,17,16.3324,0.9273,28.9267,0.9703,train
train_0119,40,13.418,0.8407,25.0035,0.9339,train
train_0120,19,20.7657,0.9153,28.9177,0.9698,train
