id,scan,input_psnr,input_ssim,psnr,ssim,split
train_0000,12,20.3483,0.8493,23.5851,0.9243,train
train_0001,31,21.9613,0.8921,29.1745,0.9727,train
train_0002,5,16.9448,0.8802,28.3178,0.9715,train
train_0003,48,13.2346,0.9102,29.839,0.9815,train
train_0004,17,22.3503,0.9463,30.3324,0.9755,train
train_0005,26,15.43,0.8353,23.71,0.9065,train
train_0006,31,19.7923,0.8837,27.5462,0.9662,train
train_0007,25,6.8054,0.7108,23.5398,0.9221,train
train_0008,18,8.2921,0.7323,22.8393,0.9219,train
train_0009,5,5.7981,0.6626,22.7951,0.9159,train
train_0010,44,12.0466,0.8537,25.8683,0.9514,train
train_0011,17,5.2242,0.7028,30.1052,0.9767,train
train_0012,24,24.6274,0.9451,27.1145,0.9719,train
train_0013,37,9.4874,0.7951,27.2206,0.9676,train
train_0014,30,7.4368,0.7906,30.8037,0.9824,train
train_0015,44,18.603,0.8908,25.2535,0.9502,train
train_0016,40,13.775,0.8734,28.5286,0.9667,train
train_0017,26,21.4761,0.8765,24.972,0.9308,train
train_0018,9,19.2776,0.8172,23.2856,0.9232,train
train_0019,50,6.7489,0.7441,28.7823,0.9727,train
train_0020,1,18.387,0.8202,23.7878,0.9145,train
train_0021,42,4.9281,0.6195,25.6031,0.9501,train
train_0022,28,13.5022,0.8199,24.5337,0.933,train
train_0023,50,13.3519,0.8507,28.2002,0.9608,train
train_0024,29,10.6682,0.8386,28.6856,0.9776,train
train_0025,9,19.3051,0.835,23.0629,0.9238,train
train_0026,19,18.9692,0.8517,24.001,0.9339,train
train_0027,5,12.2623,0.8754,28.3492,0.9712,train
train_0028,29,9.6917,0.8091,27.9436,0.9733,train
train_0029,46,21.0951,0.9402,29.2955,0.9867,train
train_0030,34,9.2913,0.8306,29.4731,0.9783,train
train_0031,18,17.1538,0.8897,27.683,0.9753,train
train_0032,34,10.918,0.8651,30.4852,0.9808,train
train_0033,29,11.7373,0.7951,21.4806,0.8758,train
train_0034,6,21.0309,0.8562,22.6412,0.916,train
train_0035,12,17.24,0.8685,27.3447,0.958,train
train_0036,17,13.5846,0.9026,26.0578,0.9611,train
train_0037,6,13.3888,0.824,22.6125,0.9215,train
