id,scan,input_psnr,input_ssim,psnr,ssim,split
train_0000,12,19.2154,0.8138,22.5334,0.8884,train
train_0001,31,20.6721,0.8478,25.5398,0.9416,train
train_0002,5,16.2714,0.8292,25.1966,0.9458,train
train_0003,48,13.2589,0.8943,26.8092,0.9626,train
train_0004,17,21.4917,0.9292,26.7606,0.9537,train
train_0005,26,15.6605,0.825,22.2379,0.8697,train
train_0006,31,18.8848,0.8391,25.1761,0.9395,train
train_0007,25,6.8729,0.7009,21.6729,0.8881,train
train_0008,18,8.2229,0.7066,21.1836,0.8845,train
train_0009,5,5.7998,0.6554,21.2373,0.8762,train
train_0010,44,12.0735,0.8388,23.0464,0.9154,train
train_0011,17,5.2109,0.6937,26.3234,0.9508,train
train_0012,24,22.774,0.9306,27.3938,0.9628,train
train_0013,37,9.4119,0.7584,23.5096,0.9285,train
train_0014,30,7.4303,0.7628,26.2833,0.9555,train
train_0015,44,18.1312,0.8706,22.8525,0.9142,train
train_0016,40,13.5579,0.8322,24.0446,0.9229,train
train_0017,26,20.5152,0.8454,24.2324,0.9156,train
train_0018,9,18.5159,0.793,20.9783,0.8588,train
train_0019,50,6.7227,0.6957,25.7981,0.9487,train
train_0020,1,17.0979,0.7604,19.9431,0.8196,train
train_0021,42,4.9825,0.6089,22.5375,0.901,train
train_0022,28,13.2268,0.7888,22.14,0.8796,train
train_0023,50,13.3166,0.8061,24.8145,0.9283,train
train_0024,29,10.5453,0.7756,24.61,0.9384,train
train_0025,9,18.3886,0.7926,21.221,0.8762,train
train_0026,19,18.2551,0.8294,22.1202,0.8925,train
train_0027,5,12.0739,0.8276,25.1854,0.9458,train
train_0028,29,9.6381,0.7633,24.7507,0.9367,train
train_0029,46,19.2933,0.8805,24.5119,0.9524,train
train_0030,34,9.1779,0.7723,25.4176,0.9469,train
train_0031,18,16.3766,0.8098,22.2157,0.9167,train
train_0032,34,10.7878,0.8129,26.4477,0.9544,train
train_0033,29,12.0745,0.7883,20.0183,0.8327,train
train_0034,6,19.8262,0.8384,22.3759,0.8942,train
train_0035,12,16.5137,0.8132,24.8081,0.9188,train
train_0036,17,13.4231,0.8919,25.8265,0.9452,train
train_0037,6,13.2961,0.8096,22.3101,0.8933,train
train_0038,50,10.1602,0.7693,22.4352,0.8858,train
train_0039,12,6.43,0.6742,24.669,0.9208,train
train_0040,17,22.1971,0.9314,28.8314,0.9727,train
train_0041,42,19.6371,0.8298,22.0991,0.8904,train
train_0042,19,12.8244,0.8239,25.6846,0.9511,train
train_0043,25,7.9809,0.7509,23.0945,0.9183,train
train_0044,8,14.4656,0.8324,24.0657,0.9333,train
train_0045,19,15.2092,0.8473,25.7352,0.9423,train
train_0046,20,19.8613,0.9324,29.9501,0.9797,train
train_0047,18,10.134,0.7886,26.4894,0.9628,train
train_0048,31,14.6334,0.8169,21.4377,0.8592,train
train_0049,45,18.8658,0.8771,24.0729,0.942,train
train_0050,15,20.8006,0.8656,23.6859,0.9202,train
train_0051,36,9.834,0.7418,20.9077,0.869,train
train_0052,14,21.2704,0.9296,26.2865,0.9501,train
train_0053,19,12.4813,0.8135,24.7809,0.9353,train
train_0054,4,16.9568,0.8635,27.9712,0.9721,train
train_0055,15,13.75,0.8318,21.0648,0.879,train
train_0056,42,19.0954,0.8316,23.0257,0.9071,train
train_0057,21,10.6751,0.8219,23.0319,0.919,train
train_0058,5,8.1104,0.7333,21.573,0.8833,train
train_0059,6,12.7321,0.8235,21.2101,0.8742,train
train_0060,45,8.159,0.7618,23.5377,0.9301,train
train_0061,34,12.0126,0.793,22.8301,0.9007,train
train_0062,4,7.7152,0.7508,27.8504,0.9716,train
train_0063,21,7.3488,0.7474,23.7745,0.9346,train
train_0064,31,20.18,0.8469,21.4339,0.8758,train
train_0065,47,20.2626,0.8422,22.5697,0.8994,train
train_0066,6,6.3496,0.6895,25.9886,0.9522,train
train_0067,48,18.2335,0.9131,24.6414,0.9431,train
train_0068,7,13.0418,0.8059,21.171,0.8727,train
train_0069,42,8.399,0.7728,26.5371,0.9639,train
