id,scan,predicted_psnr,predicted_ssim,source,annotated_psnr,annotated_ssim,corner_err,corner_pct,pck,quad_iou,psnr_cost,split
test_0000,35,18.9059,0.8515,model,29.1938,0.9758,0.3398,0.0939,1,0.9949,10.2879,test
test_0001,49,20.3051,0.8595,model,21.4416,0.881,0.5494,0.1518,1,0.9957,1.1365,test
test_0002,35,18.0582,0.8154,model,26.1392,0.9499,0.3462,0.0956,1,0.9887,8.081,test
test_0003,49,20.8699,0.8826,model,23.0201,0.9131,0.3144,0.0868,1,0.9921,2.1502,test
test_0004,11,19.5996,0.8799,model,27.3566,0.9667,0.3304,0.0913,1,0.9958,7.757,test
test_0005,11,17.7026,0.8343,model,28.0059,0.976,0.3296,0.0911,1,0.99,10.3033,test
test_0006,39,20.0914,0.8668,model,27.1607,0.9628,0.5689,0.1571,1,0.9889,7.0693,test
test_0007,39,20.8933,0.8846,model,27.4694,0.9562,0.3024,0.0835,1,0.9846,6.5761,test
test_0008,11,18.5186,0.8578,model,28.9363,0.9797,0.4612,0.1274,1,0.9961,10.4177,test
test_0009,35,16.0111,0.7369,model,28.3327,0.9718,1.2664,0.3498,1,0.9857,12.3216,test
test_0010,39,20.4504,0.8689,model,25.8464,0.9418,0.565,0.1561,1,0.9897,5.396,test
test_0011,11,18.3296,0.859,model,29.4437,0.981,0.4829,0.1334,1,0.991,11.1141,test
test_0012,33,19.2114,0.8508,model,27.2453,0.9605,0.3608,0.0997,1,0.9889,8.0339,test
test_0013,35,15.6112,0.6984,model,26.4525,0.9551,1.3408,0.3704,1,0.9738,10.8413,test
test_0014,49,18.9936,0.8469,model,29.9856,0.9759,0.368,0.1016,1,0.99,10.992,test
test_0015,33,19.4097,0.871,model,26.5925,0.9614,0.5583,0.1542,1,0.9887,7.1828,test
test_0016,49,20.5402,0.8796,model,27.0085,0.9627,0.5644,0.1559,1,0.9871,6.4683,test
test_0017,11,19.0619,0.8624,model,28.8255,0.9753,0.6195,0.1711,1,0.9879,9.7636,test
test_0018,33,21.3408,0.9037,model,28.0562,0.9668,0.3774,0.1042,1,0.9924,6.7154,test
test_0019,33,20.3433,0.8835,model,29.683,0.9783,0.3792,0.1047,1,0.9926,9.3397,test
test_0020,49,19.4371,0.8431,model,24.4588,0.9302,0.8343,0.2304,1,0.991,5.0217,test
test_0021,33,18.8608,0.8469,model,28.6586,0.9705,0.4835,0.1335,1,1.0,9.7978,test
test_0022,11,19.7958,0.8805,model,26.8768,0.964,0.5906,0.1631,1,0.9788,7.081,test
test_0023,49,19.8642,0.8513,model,23.8777,0.9242,0.327,0.0903,1,1.0,4.0135,test
test_0024,33,18.6418,0.8102,model,22.4107,0.8937,0.8813,0.2434,1,0.9834,3.7689,test
test_0025,33,18.4535,0.8211,model,26.4809,0.957,0.4441,0.1227,1,0.992,8.0274,test
test_0026,35,15.5412,0.7032,model,27.545,0.963,0.7741,0.2138,1,0.9841,12.0038,test
test_0027,39,22.8738,0.9209,model,28.5277,0.9697,0.4757,0.1314,1,0.9961,5.6539,test
test_0028,49,20.9581,0.8748,model,24.6861,0.9311,0.3224,0.089,1,1.0,3.728,test
test_0029,39,18.6733,0.8335,model,28.9089,0.9735,0.9997,0.2761,1,0.9811,10.2356,test
test_0030,39,19.6319,0.8583,model,26.3268,0.9426,0.6775,0.1871,1,0.9821,6.6949,test
test_0031,33,18.5334,0.8404,model,25.4023,0.9445,0.6073,0.1677,1,0.9902,6.8689,test
test_0032,35,16.15,0.6956,model,22.2004,0.8973,1.2845,0.3548,1,0.9711,6.0504,test
test_0033,11,19.38,0.8818,model,29.3484,0.9796,0.3699,0.1022,1,0.9909,9.9684,test
test_0034,35,16.5056,0.745,model,22.6434,0.9124,0.3323,0.0918,1,0.9865,6.1378,test
test_0035,33,17.6105,0.8028,model,28.3278,0.9733,1.2922,0.3569,1,0.9766,10.7173,test
test_0036,49,18.3291,0.826,model,24.1313,0.9321,0.3443,0.0951,1,0.9907,5.8022,test
test_0037,11,17.7648,0.8237,model,24.1908,0.9416,0.3341,0.0923,1,1.0,6.426,test
test_0038,11,16.8105,0.7892,model,28.7355,0.975,2.7489,0.7593,1,0.9614,11.925,test
test_0039,49,18.4742,0.824,model,22.6452,0.9181,1.8558,0.5126,1,0.9695,4.171,test
test_0040,49,18.8785,0.8304,model,23.6709,0.9326,0.432,0.1193,1,0.977,4.7924,test
